date,avg_moo,avgY_moo
2012-08-30,1839,2086
2012-08-31,1837,2060
2012-09-03,1866,2054
2012-09-04,1842,2069
2012-09-05,1877,2078
2012-09-06,1912,2080
2012-09-07,1913,2093
2012-09-10,1925,2133
2012-09-11,1931,2119
2012-09-12,1936,2109
2012-09-13,1882,2111
2012-09-14,1876,2116
2012-09-17,1875,2161
2012-09-18,1990,2187
2012-09-19,2053,2163
2012-09-20,1976,2186
2012-09-21,1991,2170
2012-09-24,1979,2119
2012-09-25,1988,2139
2012-09-26,1975,2140
2012-09-27,2162,2139
2012-09-28,2173,2167
2012-10-02,2188,2207
2012-10-04,2252,2248
2012-10-05,2306,2284
2012-10-08,2368,2175
2012-10-09,2394,2164
2012-10-10,2416,2159
2012-10-11,2428,2165
2012-10-12,2385,2148
2012-10-15,2478,2135
2012-10-16,2469,2144
2012-10-17,2458,2159
2012-10-18,2421,2149
2012-10-19,2414,2116
2012-10-22,2425,1968
2012-10-23,2422,1980
2012-10-24,2425,1997
2012-10-25,2340,1997
2012-10-26,2338,1974
2012-10-29,2319,1894
2012-10-30,2322,1904
2012-10-31,2362,1899
2012-11-01,2338,1858
2012-11-02,2324,1755
2012-11-05,2338,1701
2012-11-06,2325,1703
2012-11-07,2320,2005
2012-11-08,2249,2009
2012-11-09,2231,1952
2012-11-12,2141,1640
2012-11-13,2187,1660
2012-11-14,2157,1705
2012-11-15,2055,1660
2012-11-16,2002,1582
2012-11-19,1994,1535
2012-11-20,2006,1569
2012-11-21,1918,1592
2012-11-22,1813,1552
2012-11-23,1795,1563
2012-11-26,1805,1594
2012-11-27,1821,1593
2012-11-28,1846,1525
2012-11-29,1846,1528
2012-11-30,1844,1532
2012-12-03,1899,1533
2012-12-04,1899,1511
2012-12-05,1899,1515
2012-12-06,1969,1517
2012-12-07,1996,1511
2012-12-10,2029,1510
2012-12-11,2045,1498
2012-12-12,2016,1490
2012-12-13,2030,1472
2012-12-14,2073,1469
2012-12-17,2176,1472
2012-12-18,2169,1471
2012-12-20,2191,1468
2012-12-21,2161,1458
2012-12-24,2133,1448
2012-12-26,2120,1442
2012-12-27,1854,1429
2012-12-28,1864,1416
2012-12-31,1878,1521
2013-01-02,1861,1524
2013-01-03,1880,1582
2013-01-04,1821,1404
2013-01-07,1747,1341
2013-01-08,1744,1336
2013-01-09,1732,1329
2013-01-10,1692,1306
2013-01-11,1725,1276
2013-01-14,1745,1200
2013-01-15,1740,1197
2013-01-16,1670,1196
2013-01-17,1586,1190
2013-01-18,1520,1176
2013-01-21,1523,1154
2013-01-22,1496,1143
2013-01-23,1499,1140
2013-01-24,1549,1139
2013-01-25,1545,1137
2013-01-28,1589,1176
2013-01-29,1592,1177
2013-01-30,1535,1191
2013-01-31,1487,1198
2013-02-01,1475,1205
2013-02-04,1370,1202
2013-02-05,1375,1202
2013-02-06,1331,1203
2013-02-07,1356,1197
2013-02-08,1352,1188
2013-02-12,1362,1198
2013-02-13,1372,1203
2013-02-14,1391,1225
2013-02-15,1459,1246
2013-02-18,1464,1288
2013-02-19,1490,1290
2013-02-20,1485,1292
2013-02-21,1497,1299
2013-02-22,1492,1305
2013-02-25,1475,1322
2013-02-26,1459,1325
2013-02-27,1462,1324
2013-02-28,1378,1319
2013-03-04,1296,1316
2013-03-05,1283,1310
2013-03-06,1272,1310
2013-03-07,1343,1306
2013-03-08,1343,1299
2013-03-11,1364,1292
2013-03-12,1364,1292
2013-03-13,1358,1292
2013-03-14,1355,1294
2013-03-15,1357,1300
2013-03-18,1373,1317
2013-03-19,1383,1323
2013-03-20,1387,1334
2013-03-21,1367,1336
2013-03-22,1363,1335
2013-03-25,1349,1329
2013-03-26,1355,1326
2013-03-27,1363,1323
2013-03-28,1338,1318
2013-03-29,1335,1310
2013-04-01,1373,1303
2013-04-02,1370,1303
2013-04-03,1358,1285
2013-04-04,1311,1264
2013-04-05,1301,1267
2013-04-08,1282,1287
2013-04-09,1278,1299
2013-04-10,1258,1306
2013-04-11,1312,1314
2013-04-12,1322,1319
2013-04-15,1363,1319
2013-04-16,1366,1316
2013-04-17,1355,1315
2013-04-18,1262,1314
2013-04-19,1253,1313
2013-04-22,1257,1326
2013-04-23,1255,1331
2013-04-24,1264,1345
2013-04-25,1357,1351
2013-04-26,1383,1356
2013-04-29,1414,1367
2013-04-30,1435,1377
2013-05-02,1454,1387
2013-05-03,1449,1399
2013-05-06,1460,1432
2013-05-07,1496,1447
2013-05-08,1496,1475
2013-05-09,1542,1506
2013-05-10,1554,1519
2013-05-13,1603,1576
2013-05-14,1617,1627
2013-05-15,1687,1550
2013-05-16,1759,1536
2013-05-20,1823,1590
2013-05-21,1875,1595
2013-05-22,1900,1612
2013-05-23,2014,1624
2013-05-24,2049,1622
2013-05-27,2099,1551
2013-05-28,2098,1536
2013-05-29,2128,1538
2013-05-30,2105,1537
2013-05-31,2113,1512
2013-06-03,2104,1560
2013-06-04,2112,1576
2013-06-05,2136,1585
2013-06-07,2150,1576
2013-06-10,2163,1517
2013-06-11,2292,1510
2013-06-12,2294,1516
2013-06-13,2134,1518
2013-06-14,2127,1519
2013-06-17,2159,1502
2013-06-18,2159,1502
2013-06-19,2165,1506
2013-06-20,2130,1513
2013-06-21,2138,1517
2013-06-24,2113,1518
2013-06-25,2106,1520
2013-06-26,2120,1529
2013-06-27,2120,1540
2013-06-28,2120,1556
2013-07-01,2033,1557
2013-07-02,2020,1587
2013-07-03,2016,1631
2013-07-04,1958,1664
2013-07-05,1935,1699
2013-07-08,1963,1756
2013-07-09,1961,1766
2013-07-10,1968,1766
2013-07-11,1936,1761
2013-07-12,1921,1758
2013-07-15,1904,1771
2013-07-16,1923,1784
2013-07-17,1929,1785
2013-07-18,1866,1796
2013-07-19,1859,1805
2013-07-22,1857,1861
2013-07-23,1859,1879
2013-07-24,1848,1889
2013-07-25,1889,1905
2013-07-26,1910,1932
2013-07-29,1900,2035
2013-07-30,1910,2028
2013-07-31,1910,2030
2013-08-01,1974,2028
2013-08-02,1974,2034
2013-08-05,1980,1971
2013-08-06,1990,1954
2013-08-07,1990,2171
2013-08-08,1940,1770
2013-08-09,1916,1714
2013-08-12,1927,2066
2013-08-13,1952,2107
2013-08-14,1942,2107
2013-08-16,2052,2033
2013-08-19,2107,1974
2013-08-20,2137,2019
2013-08-21,2151,1999
2013-08-22,2071,1973
2013-08-23,2092,1968
2013-08-26,2134,2038
2013-08-27,2138,2050
2013-08-28,2146,2060
2013-08-29,2178,2037
2013-08-30,2178,2016
2013-09-02,2199,1981
2013-09-03,2214,1991
2013-09-04,2212,2004
2013-09-05,2068,2014
2013-09-06,2063,2019
2013-09-09,2055,2043
2013-09-10,2045,2060
2013-09-11,2023,2046
2013-09-12,2127,2040
2013-09-13,2082,2036
2013-09-16,2022,2043
2013-09-17,2022,2072
2013-09-23,2001,2065
2013-09-24,2001,2066
2013-09-25,1994,2095
2013-09-26,1990,2111
2013-09-27,1978,2125
2013-09-30,1968,2183
2013-10-01,1966,2205
2013-10-02,1941,2221
2013-10-04,1877,2258
2013-10-07,1846,2285
2013-10-08,1846,2269
2013-10-10,1764,2283
2013-10-11,1764,2291
2013-10-14,1774,2277
2013-10-15,1784,2261
2013-10-16,1767,2257
2013-10-17,1642,2258
2013-10-18,1619,2248
2013-10-21,1623,2129
2013-10-22,1625,2111
2013-10-23,1625,2098
2013-10-24,1660,2092
2013-10-25,1659,2053
2013-10-28,1680,1984
2013-10-29,1675,1951
2013-10-30,1675,1948
2013-10-31,1647,1940
2013-11-01,1574,1932
2013-11-04,1560,1866
2013-11-05,1545,1851
2013-11-06,1523,1855
2013-11-07,1430,1920
2013-11-08,1424,1768
2013-11-11,1431,1675
2013-11-12,1431,1579
2013-11-13,1431,1570
2013-11-14,1455,1663
2013-11-15,1429,1695
2013-11-18,1349,1573
2013-11-19,1317,1565
2013-11-20,1317,1610
2013-11-21,1321,1592
2013-11-22,1324,1567
2013-11-25,1307,1581
2013-11-26,1302,1589
2013-11-27,1299,1591
2013-11-28,1290,1590
2013-11-29,1296,1596
2013-12-02,1294,1613
2013-12-03,1315,1614
2013-12-04,1322,1624
2013-12-05,1367,1642
2013-12-06,1349,1658
2013-12-09,1343,1662
2013-12-10,1370,1653
2013-12-11,1373,1653
2013-12-12,1360,1659
