date,평균,평년
2019-12-17,3085,1913
2019-12-18,2989,1930
2019-12-19,3030,1910
2019-12-20,3009,1863
2019-12-23,2962,1843
2019-12-24,2965,1838
2019-12-26,2976,1832
2019-12-27,2934,1832
2019-12-30,2947,1834
2019-12-31,2920,1820
2019-10-01,3028,1794
2019-10-02,3069,1789
2019-10-04,3166,1789
2019-10-07,3301,1772
2019-10-08,3392,1769
2019-10-10,3471,1768
2019-10-11,3464,1762
2019-10-14,3420,1782
2019-10-15,3365,1765
2019-10-16,3336,1709
2019-10-17,3435,1683
2019-10-18,3468,1662
2019-10-21,3452,1644
2019-10-22,3385,1646
2019-10-23,3360,1652
2019-10-24,3368,1648
2019-10-25,3374,1645
2019-10-28,3374,1663
2019-10-29,3374,1667
2019-10-30,3332,1579
2019-10-31,3140,1567
2019-11-01,3035,1560
2019-11-04,2785,1609
2019-11-05,2735,1618
2019-11-06,2692,1626
2019-11-07,2518,1515
2019-11-08,2514,1529
2019-11-11,2390,1519
2019-11-12,2405,1495
2019-11-13,2436,1358
2019-11-14,2433,1416
2019-11-15,2437,1401
2019-11-18,2383,1377
2019-11-19,2392,1358
2019-11-20,2401,1341
2019-11-21,2397,1344
2019-11-22,2406,1339
2019-11-25,2460,1335
2019-11-26,2430,1334
2019-11-27,2430,1329
2019-11-28,2430,1326
2019-11-29,2440,1323
2019-12-02,2418,1325
2019-12-03,2375,1383
2019-12-04,2358,1389
2019-12-05,2374,1396
2019-12-09,2431,1414
2019-12-10,2434,1438
2019-12-11,2438,1456
2019-12-12,2543,1483
2019-12-13,2550,1491
2019-12-16,2734,1505
2019-12-17,2772,1530
2019-12-18,2816,1379
2019-12-19,2916,1359
2019-12-20,2922,1359
2019-12-23,2941,1450
2019-12-24,2984,1449
2019-12-26,3001,1412
2019-12-27,3015,1395
2019-12-30,3012,1389
2019-12-31,2957,1417
,2926,1441
2019-10-01,3116,1445
2019-10-02,3085,1383
2019-10-04,3055,1334
2019-10-07,3085,1308
2019-10-08,3096,1303
2019-10-10,3072,1284
2019-10-11,3043,1276
2019-10-14,3022,1265
2019-10-15,2892,1257
2019-10-16,2775,1249
2019-10-17,2687,1233
2019-10-18,2666,1225
2019-10-21,2590,1222
2019-10-22,2560,1221
2019-10-23,2532,1223
2019-10-24,2600,1219
2019-10-25,2523,1220
2019-10-28,2502,1230
2019-10-29,2531,1251
2019-10-30,2501,1329
2019-10-31,2454,1320
2019-11-01,2471,1327
2019-11-04,2460,1307
2019-11-05,2407,1310
2019-11-06,2376,1310
2019-11-07,2376,1299
2019-11-08,2396,1303
2019-11-11,2396,1303
2019-11-12,2423,1301
2019-11-13,2373,1309
2019-11-14,2373,1320
2019-11-15,2317,1329
2019-11-18,2296,1332
2019-11-19,2299,1341
2019-11-20,2288,1345
2019-11-21,2290,1346
2019-11-22,2268,1346
2019-11-25,2268,1350
2019-11-26,2262,1351
2019-11-27,2262,1345
2019-11-28,2248,1345
2019-11-29,2248,1346
2019-12-02,2248,1328
2019-12-03,2255,1329
2019-12-04,2261,1329
2019-12-05,2258,1332
2019-12-09,2244,1326
2019-12-10,2249,1326
2019-12-11,2240,1327
2019-12-12,2240,1329
2019-12-13,2229,1334
2019-12-16,2217,1335
2019-12-17,2192,1349
2019-12-18,2169,1347
2019-12-19,2108,1345
2019-12-20,2098,1342
2019-12-23,2081,1343
2019-12-24,2100,1338
2019-12-26,2101,1337
2019-12-27,2114,1332
2019-12-30,2120,1330
2019-12-31,2126,1332
2019-10-01,2124,1321
2019-10-02,2124,1304
2019-10-04,2126,1301
2019-10-07,2112,1295
2019-10-08,2143,1295
2019-10-10,2153,1306
2019-10-11,2139,1321
2019-10-14,2135,1333
2019-10-15,2093,1340
2019-10-16,2079,1346
2019-10-17,2082,1360
2019-10-18,2062,1360
2019-10-21,2047,1357
2019-10-22,2017,1352
2019-10-23,1984,1355
2019-10-24,1966,1380
2019-10-25,1963,1395
2019-10-28,1958,1408
2019-10-29,1986,1413
2019-10-30,1958,1409
2019-10-31,1980,1417
2019-11-01,1964,1430
2019-11-04,1974,1463
2019-11-05,1981,1487
2019-11-06,2064,1484
2019-11-07,2072,1477
2019-11-08,1980,1520
2019-11-11,1976,1534
2019-11-12,1970,1608
2019-11-13,1948,1607
2019-11-14,1952,1588
2019-11-15,1880,1809
2019-11-18,1880,1707
2019-11-19,1880,1647
2019-11-20,1895,1698
2019-11-21,1883,1695
2019-11-22,1876,1797
2019-11-25,1879,1811
2019-11-26,1862,1808
2019-11-27,1804,1815
2019-11-28,1813,1816
2019-11-29,1820,1814
2019-12-02,1840,1825
2019-12-03,1829,1821
2019-12-04,1856,1783
2019-12-05,1871,1768
2019-12-09,1870,1763
2019-12-10,1870,1740
2019-12-11,1766,1772
2019-12-12,1741,1759
2019-12-13,1729,1751
2019-12-16,1752,1745
2019-12-17,1753,1746
2019-12-18,1777,1748
2019-12-19,1764,1753
2019-12-20,1774,1754
2019-12-23,1774,1761
2019-12-24,1763,1762
2019-12-26,1779,1772
2019-12-27,1779,1776
2019-10-01,1786,1781
2019-10-02,1797,1799
2019-10-04,1807,1816
2019-10-07,1805,1831
2019-10-08,1794,1860
2019-10-10,1784,1882
2019-10-11,1784,1873
2019-10-14,1789,1858
2019-10-15,1776,1846
2019-10-16,1770,1843
2019-10-17,1783,1829
2019-10-18,1817,1847
2019-10-21,1822,1842
2019-10-22,1949,1840
2019-10-23,1951,1835
2019-10-24,2119,1842
2019-10-25,2304,1846
2019-10-28,2435,1852
2019-10-29,2429,1856
2019-10-30,2397,1855
2019-10-31,2356,1856
2019-11-01,2362,1855
2019-11-04,2409,1850
2019-11-05,2546,1864
2019-11-06,2561,1857
2019-11-07,2745,1851
2019-11-08,2818,1849
2019-11-11,2753,1762
2019-11-12,2779,1758
2019-11-13,2888,1846
2019-11-14,2817,1768
2019-11-15,2798,1816
2019-11-18,2833,1824
2019-11-19,2843,1824
2019-11-20,2872,1837
2019-11-21,2894,1854
2019-11-22,2909,1855
