date,avg_baechoo,avgY_baechoo
2017-10-23,3140,2853
2017-10-24,3104,3002
2017-10-25,3094,3020
2017-10-26,2974,2957
2017-10-27,3061,2954
2017-10-30,2809,3002
2017-10-31,2754,2703
2017-11-01,2643,2637
2017-11-02,2680,2584
2017-11-03,2587,2654
2017-11-06,2640,2679
2017-11-07,2625,2626
2017-11-08,2624,2452
2017-11-09,2576,2450
2017-11-10,2597,2421
2017-11-13,2621,2436
2017-11-14,2646,2172
2017-11-15,2591,2111
2017-11-16,2414,2099
2017-11-17,2384,2119
2017-11-20,2445,2125
2017-11-21,2461,2125
2017-11-22,2434,2136
2017-11-23,2599,2144
2017-11-24,2622,2169
2017-11-27,2686,2273
2017-11-28,2708,2253
2017-11-29,2727,2255
2017-11-30,2727,2281
2017-12-04,2677,2384
2017-12-05,2670,2397
2017-12-06,2657,2367
2017-12-07,2653,2395
2017-12-08,2688,2430
2017-12-11,2637,2539
2017-12-12,2637,2577
2017-12-13,2637,2558
2017-12-14,2635,2588
2017-12-15,2635,2625
2017-12-18,2743,2668
2017-12-19,2765,2660
2017-12-20,2788,2640
2017-12-21,2788,2589
2017-12-22,2800,2595
2017-12-26,2823,3037
2017-12-27,2865,3038
2017-12-28,2884,3082
2017-12-29,2901,3086
2018-01-02,2905,3164
2018-01-03,2927,3056
2018-01-04,2940,3165
2018-01-05,2960,3494
2018-01-08,3024,3138
2018-01-09,2967,2882
2018-01-10,2952,2735
2018-01-11,2961,2730
2018-01-12,2981,2675
2018-01-15,3053,2634
2018-01-16,3071,2626
2018-01-17,3076,2609
2018-01-18,3055,2588
2018-01-19,3069,2591
2018-01-22,3083,2610
2018-01-23,3179,2609
2018-01-24,3155,2601
2018-01-25,3115,2630
2018-01-26,3115,2645
2018-01-29,3176,2706
2018-01-30,3363,2705
2018-01-31,3471,2708
2018-02-01,3749,2713
2018-02-02,3837,2749
2018-02-05,4052,2783
2018-02-06,4261,2805
2018-02-07,4181,2818
2018-02-08,4307,2822
2018-02-09,4307,2828
2018-02-12,4576,2934
2018-02-13,4512,2956
2018-02-14,4479,2898
2018-02-19,4527,2990
2018-02-20,4359,2982
2018-02-21,4301,2972
2018-02-22,4302,2963
2018-02-23,4306,2952
2018-02-26,4241,2978
2018-02-27,4277,3025
2018-02-28,4280,3031
2018-03-02,4283,3109
2018-03-05,4303,3254
2018-03-06,4311,3256
2018-03-07,4295,3262
2018-03-08,4269,3241
2018-03-09,4322,3259
2018-03-12,4347,3246
2018-03-13,4314,3303
2018-03-14,4281,3212
2018-03-15,4297,3207
2018-03-16,4289,3215
2018-03-19,4260,3308
2018-03-20,4254,3309
2018-03-21,4273,3229
2018-03-22,4273,3244
2018-03-23,4241,3252
2018-03-26,4251,3242
2018-03-27,4290,3202
2018-03-28,4307,3185
2018-03-29,4291,3175
2018-03-30,4299,3182
2018-04-02,4321,3322
2018-04-03,4306,3347
2018-04-04,4306,3336
2018-04-05,4333,3262
2018-04-06,4333,3280
2018-04-09,4321,3364
2018-04-10,4317,3366
2018-04-11,4317,3374
2018-04-12,4334,3369
2018-04-13,4309,3373
2018-04-16,4270,3289
2018-04-17,4270,3332
2018-04-18,4284,3320
2018-04-19,4259,3291
2018-04-20,4292,3263
2018-04-23,4282,3363
2018-04-24,4360,3344
2018-04-25,4379,3312
2018-04-26,4299,3316
2018-04-27,4299,3347
2018-04-30,4309,3225
2018-05-02,4240,3234
2018-05-03,4240,3286
2018-05-04,4240,3250
2018-05-08,3457,2914
2018-05-09,3417,2844
2018-05-10,3399,2829
2018-05-11,3345,2826
2018-05-14,3312,2754
2018-05-15,3252,2783
2018-05-16,3215,2787
2018-05-17,3018,2713
2018-05-18,3024,2697
2018-05-21,2807,2725
2018-05-23,2789,2776
2018-05-24,2866,2742
2018-05-25,2851,2744
2018-05-28,2797,2581
2018-05-29,2797,2683
2018-05-30,2797,2643
2018-05-31,2685,2596
2018-06-01,2688,2562
2018-06-04,2653,2519
2018-06-05,2611,2529
2018-06-07,2691,2531
2018-06-08,2691,2530
2018-06-11,2676,2525
2018-06-12,2679,2528
2018-06-14,2707,2487
2018-06-15,2708,2473
2018-06-18,2747,2457
2018-06-19,2745,2468
2018-06-20,2757,2472
2018-06-21,2718,2472
2018-06-22,2686,2469
2018-06-25,2714,2472
2018-06-26,2773,2480
2018-06-27,2896,2489
2018-06-28,2919,2495
2018-06-29,2934,2490
2018-07-02,2986,2518
2018-07-03,2990,2515
2018-07-04,3004,2552
2018-07-05,3060,2570
2018-07-06,3015,2583
2018-07-09,3122,2616
