,날짜,평균,평년,현재일기,현재기온,이슬점온도,체감온도,강수량,습도,풍향,풍속,해면기압,태풍,태풍영향8,태풍영향10,태풍영향12,태풍영향14,태풍영향16,태풍영향18,태풍영향20
77,2015-04-24,1342,1402,-,22.0,9.5,67.0,0.0,45.0,남동,15.8,1018.4,0,x,x,x,x,x,x,x
78,2015-04-27,1341,1432,-,26.5,0.9,70.0,0.0,19.0,남남서,11.5,1016.4,0,x,x,x,x,x,x,x
79,2015-04-28,1341,1437,-,24.1,10.7,70.0,0.0,43.0,남남동,16.2,1014.6,0,x,x,x,x,x,x,x
80,2015-04-29,1336,1440,-,16.5,15.8,62.0,16.5,96.0,남동,6.1,1013.8,0,x,x,x,x,x,x,x
81,2015-04-30,1332,1446,-,20.7,13.1,67.0,0.0,62.0,남동,16.6,1014.0,0,x,x,x,x,x,x,x
82,2015-05-04,1330,1471,-,25.3,-5.1,68.0,0.0,13.0,북서,17.3,1005.9,0,x,x,x,x,x,x,x
83,2015-05-06,1341,1480,-,20.4,7.0,65.0,0.0,42.0,남남동,11.2,1012.1,0,x,x,x,x,x,x,x
84,2015-05-07,1309,1493,-,23.8,3.6,68.0,0.0,27.0,남남동,15.5,1012.1,0,x,x,x,x,x,x,x
85,2015-05-08,1318,1506,-,23.8,4.1,68.0,0.0,28.0,남,18.7,1013.0,0,x,x,x,x,x,x,x
86,2015-05-11,1308,1588,-,19.6,9.4,65.0,0.0,52.0,남남동,14.8,1015.7,0,x,x,x,x,x,x,x
87,2015-05-12,1322,1597,-,19.7,6.0,64.0,17.5,41.0,서남서,15.8,1003.0,0,x,x,x,x,x,x,x
88,2015-05-13,1322,1618,-,25.3,7.4,70.0,0.0,32.0,남서,19.1,1007.4,0,x,x,x,x,x,x,x
89,2015-05-14,1322,1624,-,24.6,17.0,73.0,0.0,63.0,남남서,10.8,1009.7,0,x,x,x,x,x,x,x
90,2015-05-15,1322,1631,-,21.2,16.9,69.0,0.0,77.0,남동,16.6,1009.2,0,x,x,x,x,x,x,x
91,2015-05-18,1374,1684,-,14.2,13.8,58.0,14.0,98.0,북서,5.0,1006.0,0,x,x,x,x,x,x,x
92,2015-05-19,1388,1684,-,25.0,15.3,72.0,0.0,55.0,남남동,13.7,1005.8,0,x,x,x,x,x,x,x
93,2015-05-20,1385,1707,-,24.9,1.0,69.0,0.0,21.0,서,12.6,1006.4,0,x,x,x,x,x,x,x
94,2015-05-21,1389,1746,-,26.0,8.4,71.0,0.0,33.0,남남서,11.2,1013.4,0,x,x,x,x,x,x,x
95,2015-05-22,1386,1786,-,26.0,8.0,71.0,0.0,32.0,남동,20.2,1013.6,0,x,x,x,x,x,x,x
96,2015-05-26,1434,1740,-,32.7,3.5,76.0,0.0,16.0,서,12.6,1009.5,0,x,x,x,x,x,x,x
97,2015-05-27,1438,1719,-,29.9,9.9,75.0,0.0,29.0,남남동,14.4,1010.3,0,x,x,x,x,x,x,x
98,2015-05-28,1438,1711,-,29.7,2.8,73.0,0.0,18.0,남동,13.7,1009.1,0,x,x,x,x,x,x,x
99,2015-05-29,1466,1737,-,29.6,8.6,74.0,0.0,27.0,남남동,13.0,1007.1,0,x,x,x,x,x,x,x
100,2015-06-01,1617,1740,-,27.0,14.3,74.0,0.0,46.0,남남동,13.3,1010.1,0,x,x,x,x,x,x,x
101,2015-06-02,1744,1765,-,24.8,17.0,73.0,0.0,62.0,남남동,12.6,1008.9,0,x,x,x,x,x,x,x
102,2015-06-03,1744,1780,-,27.2,9.5,72.0,0.0,33.0,남남동,17.6,1005.2,0,x,x,x,x,x,x,x
103,2015-06-04,1789,1784,-,27.4,8.2,72.0,0.0,30.0,남남동,19.8,1010.4,0,x,x,x,x,x,x,x
104,2015-06-05,1812,1796,-,15.3,12.7,59.0,4.5,85.0,북북서,4.7,1006.4,0,x,x,x,x,x,x,x
105,2015-06-08,1794,1747,-,23.1,17.0,71.0,0.5,69.0,정온,1.4,1008.1,0,x,x,x,x,x,x,x
106,2015-06-09,1808,1727,-,27.5,13.0,74.0,0.0,41.0,서북서,11.2,1006.8,0,x,x,x,x,x,x,x
107,2015-06-10,1808,1720,-,30.1,14.6,77.0,0.0,39.0,남남동,15.8,1008.8,0,x,x,x,x,x,x,x
108,2015-06-11,1836,1692,-,23.1,19.6,72.0,0.3,81.0,남동,10.4,1003.4,0,x,x,x,x,x,x,x
109,2015-06-12,1839,1695,-,28.8,16.6,76.0,0.0,48.0,남남동,16.6,1004.3,0,x,x,x,x,x,x,x
110,2015-06-15,1835,1719,-,25.1,19.9,74.0,0.0,73.0,남남동,9.0,1008.4,0,x,x,x,x,x,x,x
111,2015-06-16,1835,1702,-,23.5,18.8,72.0,0.0,75.0,남,18.0,1006.0,0,x,x,x,x,x,x,x
112,2015-06-17,1834,1704,-,24.7,13.8,71.0,0.0,51.0,남동,6.5,1005.7,0,x,x,x,x,x,x,x
113,2015-06-18,1797,1710,-,25.0,15.0,72.0,0.0,54.0,서,6.1,1005.6,0,x,x,x,x,x,x,x
114,2015-06-19,1797,1709,-,26.4,14.1,73.0,0.0,47.0,북북서,4.3,1008.9,0,x,x,x,x,x,x,x
115,2015-06-22,1838,1709,-,26.3,16.2,74.0,0.0,54.0,남남동,16.2,1010.6,0,x,x,x,x,x,x,x
116,2015-06-23,1850,1706,-,28.3,14.8,75.0,0.0,44.0,남동,15.1,1011.2,0,x,x,x,x,x,x,x
117,2015-06-24,1844,1702,-,27.2,14.5,74.0,0.0,46.0,남동,14.4,1009.6,0,x,x,x,x,x,x,x
118,2015-06-25,1828,1699,-,27.6,15.2,75.0,0.0,47.0,남동,7.6,1004.4,0,x,x,x,x,x,x,x
119,2015-06-26,1830,1701,-,24.9,22.3,75.0,15.0,86.0,서북서,5.4,993.6,0,x,x,x,x,x,x,x
120,2015-06-29,1882,1707,-,29.0,14.7,76.0,0.0,42.0,남남동,9.0,1007.5,0,x,x,x,x,x,x,x
121,2015-06-30,1888,1717,-,20.7,20.3,69.0,4.0,98.0,남남서,4.0,1000.9,3000,o,o,o,o,o,o,o
122,2015-07-01,1881,1716,-,26.4,19.0,75.0,0.1,64.0,남남동,16.6,996.4,3000,o,o,o,o,o,o,o
123,2015-07-02,1837,1720,-,25.9,15.2,73.0,0.0,52.0,남남동,16.9,1002.7,3000,o,o,o,o,o,o,o
124,2015-07-03,1850,1730,-,30.4,10.3,76.0,0.0,29.0,북서,6.5,1004.3,3000,o,o,o,o,o,o,o
125,2015-07-06,1957,1778,-,24.7,16.1,72.0,0.0,59.0,남동,16.9,1011.7,3000,o,o,o,o,o,o,o
126,2015-07-07,1939,1793,-,19.8,19.4,68.0,6.5,98.0,북서,4.7,1010.9,3000,o,o,o,o,o,o,o
127,2015-07-08,2033,1806,-,22.4,22.0,72.0,21.0,98.0,남남동,2.9,1011.8,3000,o,o,o,o,o,o,o
128,2015-07-09,2254,1820,-,26.2,20.9,76.0,14.0,73.0,서남서,4.3,1015.6,3000,o,o,o,o,o,o,o
129,2015-07-10,2249,1820,-,30.3,20.8,80.0,0.0,57.0,남남동,8.3,1013.7,3000,o,o,o,o,o,o,o
130,2015-07-13,2304,1821,-,23.7,21.7,74.0,0.0,89.0,서,16.6,1000.2,3000,o,o,o,o,o,o,o
131,2015-07-14,2286,1826,-,28.5,21.7,79.0,0.0,67.0,남동,13.3,1004.6,3000,o,o,o,o,o,o,o
132,2015-07-15,2306,1825,-,28.6,20.8,78.0,0.0,63.0,북북동,4.7,1005.4,3000,o,o,o,o,o,o,o
133,2015-07-16,2455,1827,-,26.5,14.5,73.0,0.0,48.0,서북서,9.7,1005.6,3000,o,o,o,o,o,o,o
134,2015-07-17,2403,1824,-,24.4,13.5,71.0,0.0,51.0,남동,13.0,1005.5,3000,o,o,o,o,o,o,o
135,2015-07-20,2404,1854,-,27.0,21.7,77.0,0.0,73.0,동,1.8,1009.6,3000,o,o,o,o,o,o,o
136,2015-07-21,2400,1878,-,28.2,22.8,79.0,3.5,73.0,남,7.2,1008.1,3000,o,o,o,o,o,o,o
137,2015-07-22,2380,1905,-,26.4,26.0,79.0,0.5,98.0,남남동,7.2,1007.4,3000,o,o,o,o,o,o,o
138,2015-07-23,2302,1931,-,28.1,23.8,80.0,53.5,78.0,서남서,16.2,1009.7,3000,o,o,o,o,o,o,o
139,2015-07-24,2302,1940,-,26.8,26.1,80.0,1.5,96.0,남남동,9.0,1008.5,3000,o,o,o,o,o,o,o
140,2015-07-27,2240,2014,-,32.9,20.4,82.0,0.0,48.0,서남서,19.1,1007.5,0,o,o,o,o,o,o,o
141,2015-07-28,2244,2057,-,33.2,21.0,82.0,0.0,49.0,서북서,11.9,1007.9,0,o,o,o,o,o,o,o
142,2015-07-29,2213,2091,-,33.2,24.6,85.0,0.0,61.0,남남동,10.8,1008.1,0,o,o,o,o,o,o,o
