date,avg_scallion,avgY_scallion
2017-07-05,2439,2567
2017-07-06,2458,2539
2017-07-07,2420,2519
2017-07-10,2401,2507
2017-07-11,2419,2507
2017-07-12,2417,2497
2017-07-13,2439,2493
2017-07-14,2430,2483
2017-07-17,2471,2449
2017-07-18,2487,2443
2017-07-19,2491,2441
2017-07-20,2725,2446
2017-07-21,2756,2446
2017-07-24,2863,2453
2017-07-25,2894,2453
2017-07-26,2894,2453
2017-07-27,2854,2445
2017-07-28,2862,2440
2017-07-31,2858,2432
2017-08-01,2862,2428
2017-08-02,2706,2418
2017-08-03,2861,2413
2017-08-04,2910,2404
2017-08-07,2944,2393
2017-08-08,2902,2397
2017-08-09,2905,2411
2017-08-10,3203,2416
2017-08-11,3226,2419
2017-08-14,3275,2491
2017-08-16,3260,2517
2017-08-17,3030,2529
2017-08-18,3290,2541
2017-08-21,3297,2638
2017-08-22,3314,2663
2017-08-23,3356,2697
2017-08-24,3435,2717
2017-08-25,3430,2739
2017-08-28,3436,2809
2017-08-29,3453,2835
2017-08-30,3496,2865
2017-08-31,3513,2900
2017-09-01,3552,2917
2017-09-04,3563,2925
2017-09-05,3579,2918
2017-09-06,3571,2924
2017-09-07,3513,2924
2017-09-08,3496,2928
2017-09-11,3507,2920
2017-09-12,3502,2936
2017-09-13,3468,2953
2017-09-14,3449,2961
2017-09-15,3408,2957
2017-09-18,3413,2985
2017-09-19,3400,2992
2017-09-20,3403,3000
2017-09-21,3444,3016
2017-09-22,3440,3027
2017-09-25,3448,3066
2017-09-26,3454,3078
2017-09-27,3457,3089
2017-09-28,3470,3099
2017-09-29,3440,3093
2017-10-11,3394,2969
2017-10-12,3307,2962
2017-10-13,3294,2949
2017-10-16,3305,2882
2017-10-17,3298,2849
2017-10-18,3281,2829
2017-10-19,3263,2817
2017-10-20,3256,2808
2017-10-23,3219,2735
2017-10-24,3229,2717
2017-10-25,3236,2717
2017-10-26,3023,2712
2017-10-27,3006,2687
2017-10-30,2986,2643
2017-10-31,2962,2626
2017-11-01,2944,2613
2017-11-02,2687,2603
2017-11-03,2702,2654
2017-11-06,2669,2664
2017-11-07,2665,2672
2017-11-08,2665,2689
