"통계분류(1)",통계분류(2),2004,2004,2004,2004,2004,2004,2004,2006,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2013,2013,2013,2013,2013,2013,2013,2015,2015,2015,2015,2015,2015,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017
"통계분류(1)",통계분류(2),사례수,집에서,직장(학교)에서,출퇴근(통학)시 차 안에서,도서관에서,가리지않음,기 타,사례수,집에서,직장(학교)에서,출퇴근(통학)시 차 안에서,도서관에서,가리지않음,기 타,사례수,집에서,직장(학교)에서,출퇴근(통학)시 차 안에서,도서관에서,가리지않음,기 타,사례수,집에서,직장(학교)에서,출퇴근(통학)시 차 안에서,도서관에서,가리지않음,기 타,책을 전혀 읽지 않는다,사례수,집에서,직장(학교)에서,출퇴근(통학)시 차 안에서,도서관에서,가리지않음,기 타,책을 전혀 읽지 않는다,모름-무응답,사례수,집에서,직장(학교)에서,출퇴근(통학)시 차 안에서,도서관에서,가리지않음,기 타,집에서,직장(학교)에서,출퇴근(통학)시 차 안에서,도서관에서,가리지않음,기 타,사례수,집에서,직장(학교)에서,출퇴근(통학)시 차 안에서,도서관에서,가리지않음,기 타,사례수,집에서,직장(학교)에서,출퇴근(통학)시 차 안에서,도서관에서,가리지않음,기 타,사례수,집에서,직장(학교)에서,도서관에서,밖에서 이동할 때,가리지않음,카페에서,서점에서,기 타
"연간독서량",11~15권,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,70,58.6,15.7,7.1,11.4,7.1,0,0,0,75,52,21.3,1.3,4,20,1.3,-,-,-,-,-,-,180,54.8,19.7,10,5.6,8.8,1,516,55,15.1,11.6,3.5,14.1,0.7,239,58.4,15.6,7.6,8,3.9,4.4,1.3,0.8
"연간독서량",16권 이상,-,-,-,-,-,-,-,-,-,-,-,-,-,-,202,60.4,10.4,9.9,5.9,0.5,12.9,214,59.8,15,9.3,7.9,7.5,0.5,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"연간독서량",16~20권,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,44.1,17.6,8.8,14.7,14.7,0,0,0,57,56.1,21.1,1.8,5.3,15.8,0,-,-,-,-,-,-,73,50.6,18.3,11.9,10,8.7,0.5,176,59,11.8,10,5.6,12.3,1.3,365,61.6,12,5.5,9.9,5.3,3.4,0.9,1.4
"연간독서량",21권 이상,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,88,54.5,12.5,5.7,11.4,14.8,1.1,0,0,137,57.7,9.5,4.4,8,20.4,0,-,-,-,-,-,-,186,53,17.7,9.6,10.3,8.7,0.7,466,54.6,12.8,12.2,4.7,14.8,0.9,672,57.9,14.8,6.3,8.3,5.8,4.6,1.9,0.4
"직업",경영 관리직,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43.2,23.5,6.9,0,26.3,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"직업",사무직,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45.7,22.5,15.3,1,15.2,0.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"직업",서비스 판매직,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.9,25.2,8.9,1.2,19.2,2.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"직업",생산직,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.2,9.5,5.6,1.1,21.6,3.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"직업",자영업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45.3,32,2.3,1.2,16.9,2.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"직업",전업주부,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75.8,0.3,1,0,17.6,5.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"직업",학생,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50.8,16,10.4,4.8,17.9,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"직업",은퇴무직기타,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,67.4,0,6,4.8,20,1.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"가구소득",100만원 미만,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49.8,23.2,0,0,26.9,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"가구소득",100~200만원,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61.6,12.9,0.3,0.6,21.2,3.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"가구소득",200~300만원,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59.5,17.7,2.1,1.1,16.4,3.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"가구소득",300~400만원,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53.2,17.9,9.5,1.9,15.5,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"가구소득",400만원 이상,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39.3,20.5,16.5,1.5,21.4,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"연간 일반도서 독서량",없음,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34.7,14.9,1.6,0.4,31.4,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"연간 일반도서 독서량",1~5권,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63.5,14.2,3.6,0.8,16.2,1.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"연간 일반도서 독서량",6~10권,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.8,14.4,6,0.7,21,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"연간 일반도서 독서량",11~15권,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55.4,24.1,4.1,1.4,15.1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"연간 일반도서 독서량",16~20권,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45.5,20.9,14.3,2.2,16.7,0.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"연간 일반도서 독서량",21권 이상,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64.6,20.3,0,1.4,12.9,0.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"인근지역 공공도서관 유무",있다,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51.9,18.5,9.1,1.5,17.6,1.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"인근지역 공공도서관 유무",없다,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56.9,17,6.1,1.3,16.2,2.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"인근지역 공공도서관 유무",모른다,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33.3,20,11.5,1.5,29.5,4.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
