날짜,현재기온,이슬점온도,체감온도,습도,풍속,해면기압
2015-06-27 14:00:00,23.9,15.1,71,58,9.4,1007.2
2015-06-26 14:00:00,24.9,22.3,75,86,5.4,993.6
2015-06-25 14:00:00,27.6,15.2,75,47,7.6,1004.4
2015-06-24 14:00:00,27.2,14.5,74,46,14.4,1009.6
2015-06-23 14:00:00,28.3,14.8,75,44,15.1,1011.2
2015-06-22 14:00:00,26.3,16.2,74,54,16.2,1010.6
2015-06-21 14:00:00,24.7,15.8,72,58,9.4,1010.9
2015-06-20 14:00:00,21.9,15.7,69,68,10.4,1010.2
2015-06-19 14:00:00,26.4,14.1,73,47,4.3,1008.9
2015-06-18 14:00:00,25.0,15.0,72,54,6.1,1005.6
2015-06-17 14:00:00,24.7,13.8,71,51,6.5,1005.7
2015-06-16 14:00:00,23.5,18.8,72,75,18.0,1006.0
2015-06-15 14:00:00,25.1,19.9,74,73,9.0,1008.4
2015-06-14 14:00:00,26.7,18.0,75,59,19.1,1007.2
2015-06-13 14:00:00,24.2,19.6,73,76,9.7,1008.6
2015-06-12 14:00:00,28.8,16.6,76,48,16.6,1004.3
2015-06-11 14:00:00,23.1,19.6,72,81,10.4,1003.4
2015-06-10 14:00:00,30.1,14.6,77,39,15.8,1008.8
2015-06-09 14:00:00,27.5,13.0,74,41,11.2,1006.8
2015-06-08 14:00:00,23.1,17.0,71,69,1.4,1008.1
2015-06-07 14:00:00,25.5,10.5,71,39,8.3,1014.8
2015-06-06 14:00:00,24.2,11.8,70,46,18.4,1014.4
2015-06-05 14:00:00,15.3,12.7,59,85,4.7,1006.4
2015-06-04 14:00:00,27.4,8.2,72,30,19.8,1010.4
2015-06-03 14:00:00,27.2,9.5,72,33,17.6,1005.2
2015-06-02 14:00:00,24.8,17.0,73,62,12.6,1008.9
2015-06-01 14:00:00,27.0,14.3,74,46,13.3,1010.1
2015-05-31 14:00:00,30.2,9.6,75,28,4.7,1007.5
2015-05-30 14:00:00,20.2,16.8,67,81,8.6,1004.7
2015-05-29 14:00:00,29.6,8.6,74,27,13.0,1007.1
2015-05-28 14:00:00,29.7,2.8,73,18,13.7,1009.1
2015-05-27 14:00:00,29.9,9.9,75,29,14.4,1010.3
2015-05-26 14:00:00,32.7,3.5,76,16,12.6,1009.5
2015-05-25 14:00:00,26.3,10.8,72,38,19.8,1008.1
2015-05-24 14:00:00,26.8,7.2,72,29,16.9,1007.6
2015-05-23 14:00:00,26.7,9.0,72,33,9.4,1010.7
2015-05-22 14:00:00,26.0,8.0,71,32,20.2,1013.6
2015-05-21 14:00:00,26.0,8.4,71,33,11.2,1013.4
2015-05-20 14:00:00,24.9,1.0,69,21,12.6,1006.4
2015-05-19 14:00:00,25.0,15.3,72,55,13.7,1005.8
2015-05-18 14:00:00,14.2,13.8,58,98,5.0,1006.0
2015-05-17 14:00:00,24.9,5.6,69,29,15.5,1011.8
2015-05-16 14:00:00,22.0,14.6,69,63,14.8,1009.6
2015-05-15 14:00:00,21.2,16.9,69,77,16.6,1009.2
2015-05-14 14:00:00,24.6,17.0,73,63,10.8,1009.7
2015-05-13 14:00:00,25.3,7.4,70,32,19.1,1007.4
2015-05-12 14:00:00,19.7,6.0,64,41,15.8,1003.0
2015-05-11 14:00:00,19.6,9.4,65,52,14.8,1015.7
2015-05-10 14:00:00,23.2,9.5,69,42,14.4,1018.0
2015-05-09 14:00:00,21.1,10.5,67,51,15.1,1010.9
2015-05-08 14:00:00,23.8,4.1,68,28,18.7,1013.0
2015-05-07 14:00:00,23.8,3.6,68,27,15.5,1012.1
2015-05-06 14:00:00,20.4,7.0,65,42,11.2,1012.1
2015-05-05 14:00:00,22.4,2.4,67,27,17.6,1010.6
2015-05-04 14:00:00,25.3,-5.1,68,13,17.3,1005.9
2015-05-03 14:00:00,17.1,16.7,63,98,10.4,1007.5
2015-05-02 14:00:00,26.0,14.7,73,50,14.8,1013.4
2015-05-01 14:00:00,25.0,13.2,72,48,10.8,1011.2
2015-04-30 14:00:00,20.7,13.1,67,62,16.6,1014.0
2015-04-29 14:00:00,16.5,15.8,62,96,6.1,1013.8
2015-04-28 14:00:00,24.1,10.7,70,43,16.2,1014.6
2015-04-27 14:00:00,26.5,0.9,70,19,11.5,1016.4
2015-04-26 14:00:00,26.4,3.5,70,23,14.4,1018.0
2015-04-25 14:00:00,25.1,-7.4,68,11,16.9,1019.2
2015-04-24 14:00:00,22.0,9.5,67,45,15.8,1018.4
2015-04-23 14:00:00,23.1,-1.1,67,20,11.2,1020.8
2015-04-22 14:00:00,22.6,3.6,67,29,15.8,1016.3
2015-04-21 14:00:00,18.8,8.1,64,50,19.1,1016.0
2015-04-20 14:00:00,12.2,10.4,54,89,5.4,1005.8
2015-04-19 14:00:00,15.7,15.3,60,98,10.8,1008.1
2015-04-18 14:00:00,21.4,-11.5,64,10,13.0,1017.0
2015-04-17 14:00:00,17.2,-4.1,61,23,7.9,1016.3
2015-04-16 14:00:00,18.6,8.2,63,51,16.2,1008.5
2015-04-15 14:00:00,19.0,3.5,63,36,16.9,1008.3
2015-04-14 14:00:00,15.6,-1.0,59,32,16.9,1007.9
2015-04-13 14:00:00,12.8,8.2,55,74,5.0,1015.4
2015-04-12 14:00:00,19.0,-8.2,62,15,10.8,1023.2
2015-04-11 14:00:00,19.5,-2.8,63,22,24.5,1024.5
2015-04-10 14:00:00,19.6,0.0,64,27,14.0,1020.2
2015-04-09 14:00:00,14.7,1.2,58,40,16.6,1024.2
2015-04-08 14:00:00,11.6,1.5,54,50,4.7,1026.2
2015-04-07 14:00:00,10.6,1.9,53,55,8.3,1024.0
2015-04-06 14:00:00,12.3,10.3,54,88,2.2,1017.0
2015-04-05 14:00:00,12.7,8.9,55,78,5.0,1014.8
2015-04-04 14:00:00,16.2,3.9,60,44,19.1,1015.1
2015-04-03 14:00:00,22.9,11.6,69,49,13.3,1003.8
2015-04-02 14:00:00,16.0,7.9,60,59,16.9,1010.9
2015-04-01 14:00:00,12.1,6.1,55,67,7.6,1016.4
2015-03-31 14:00:00,14.3,13.9,13.5,98,11.9,1017.0
2015-03-30 14:00:00,20.1,2.8,20.1,32,19.8,1019.5
2015-03-29 14:00:00,21.4,1.0,21.4,26,10.8,1015.5
2015-03-28 14:00:00,19.5,-4.0,19.5,20,10.1,1016.9
2015-03-27 14:00:00,19.9,-13.9,19.9,9,11.2,1024.2
2015-03-26 14:00:00,18.2,-6.5,18.2,18,9.0,1031.4
2015-03-25 14:00:00,13.6,-6.6,12.2,24,16.9,1034.2
2015-03-24 14:00:00,12.1,-16.5,10.4,12,15.8,1029.8
2015-03-23 14:00:00,13.5,-20.2,12.0,8,16.9,1022.6
2015-03-22 14:00:00,18.5,-16.4,18.2,8,18.7,1017.5
2015-03-21 14:00:00,21.8,3.9,21.8,31,6.1,1014.1
2015-03-20 14:00:00,21.2,-0.1,21.2,24,9.4,1016.4
2015-03-19 14:00:00,17.5,8.3,17.5,55,8.3,1013.8
2015-03-18 14:00:00,11.4,10.6,11.3,95,5.0,1010.7
2015-03-17 14:00:00,21.8,-2.8,21.8,19,15.5,1016.2
2015-03-16 14:00:00,20.2,-2.8,20.2,21,8.3,1020.0
2015-03-15 14:00:00,16.3,-6.7,16.0,20,11.9,1020.4
2015-03-14 14:00:00,13.6,-15.3,12.5,12,14.0,1022.3
2015-03-13 14:00:00,11.5,-1.6,10.4,40,10.1,1019.2
2015-03-12 14:00:00,10.7,-18.6,9.4,11,10.4,1019.6
2015-03-11 14:00:00,7.7,-12.1,4.2,23,23.0,1019.3
2015-03-10 14:00:00,4.6,-26.9,0.8,8,18.4,1020.3
2015-03-09 14:00:00,15.9,-9.9,15.0,16,17.6,1014.0
2015-03-08 14:00:00,14.1,-4.1,12.4,28,21.6,1022.3
2015-03-07 14:00:00,14.0,-4.7,13.6,27,8.6,1021.2
2015-03-06 14:00:00,10.7,-4.9,9.2,33,11.5,1022.7
2015-03-05 14:00:00,8.9,-10.1,7.7,25,7.9,1025.6
2015-03-04 14:00:00,6.0,-15.9,2.2,19,21.2,1017.9
2015-03-03 14:00:00,3.3,2.8,1.2,97,7.9,1012.3
2015-03-02 14:00:00,11.0,-13.9,10.0,16,9.0,1019.3
2015-03-01 14:00:00,8.0,-3.5,5.2,44,17.3,1016.2
2015-02-28 14:00:00,7.5,-3.9,5.9,44,8.6,1026.4
2015-02-27 14:00:00,4.4,-20.0,1.1,15,14.4,1025.5
2015-02-26 14:00:00,13.5,-7.8,12.1,22,16.2,1014.5
2015-02-25 14:00:00,12.2,-1.0,10.8,40,13.3,1018.9
2015-02-24 14:00:00,11.4,-14.3,10.0,15,11.9,1016.6
2015-02-23 14:00:00,10.9,-8.9,9.4,24,11.9,1017.6
2015-02-22 14:00:00,13.9,6.2,12.6,60,16.6,1013.7
2015-02-21 14:00:00,9.1,7.8,9.1,92,4.3,1019.7
2015-02-20 14:00:00,11.9,-5.6,10.6,29,11.9,1027.2
2015-02-19 14:00:00,10.1,-8.5,8.3,26,12.6,1025.3
2015-02-18 14:00:00,7.6,-6.5,4.9,36,15.1,1019.2
2015-02-17 14:00:00,8.8,-7.0,6.4,32,15.5,1013.2
2015-02-16 14:00:00,7.5,2.7,7.5,72,2.2,1014.4
2015-02-15 14:00:00,8.4,-2.5,8.4,46,1.8,1022.1
2015-02-14 14:00:00,10.2,-13.1,8.5,18,12.2,1020.8
2015-02-13 14:00:00,6.1,-21.2,3.4,12,13.0,1017.6
